Gene Symbol,Complex,Class / family,Full name from Entrez,More Aliases from Entrez,Organism,Ensemble Gene ID,Molecular weight from SwissProt,Domains from SwissProt,Motifs from SwissProt,Entrez Gene ID,Full Gene Name from Entrez,UniProt Entry Name,Other UniProt Accessions,Pdbs,Compositional AA Bias from SwissProt
SF3B4,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, P complex",17S U2 snRNP,"splicing factor 3b, subunit 4, 49kDa","SAP 49, SF3b50, pre-mRNA-splicing factor SF3b 49 kDa subunit, spliceosomal protein, spliceosome-associated protein (U2 snRNP)",H. sapiens,ENSG00000143368,44386,RRM,,10262,"splicing factor 3b, subunit 4, 49kDa",SF3B4_HUMAN,"Q15427, Q5SZ63","1X5T, 1X5U",Poly-Pro
SF3B5,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, P complex",17S U2 snRNP,"splicing factor 3b, subunit 5, 10kDa","pre-mRNA-splicing factor SF3b 10 kDa subunit, splicing factor 3B subunit 5",H. sapiens,ENSG00000169976,10135,,,83443,"splicing factor 3b, subunit 5, 10kDa",SF3B5_HUMAN,"Q9BWJ5, B2R568, Q7RTV1",,
PHF5A,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, P complex",17S U2 snRNP,PHD finger protein 5A,"PHD finger-like domain protein 5A, PHD finger-like domain-containing protein 5A, PHD-finger 5a, splicing factor 3B associated 14 kDa protein, splicing factor 3B-associated 14 kDa protein",H. sapiens,ENSG00000100410,12405,,,84844,PHD finger protein 5A,PHF5A_HUMAN,"Q7RTV0, Q9UH06",,
SF3B6,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, P complex",17S U2 snRNP,p14,"SF3b 14 kDa subunit, pre-mRNA branch site protein p14, spliceosome-associated protein, 14 kDa subunit",H. sapiens,ENSG00000115128,14585,RRM,,51639,p14,SF3B6_HUMAN,Q9Y3B4,"2F9D, 2F9J, 2FHO, 3LQV",
SF3A1,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, P complex",17S U2 snRNP,"splicing factor 3a, subunit 1, 120kDa","SAP 114, pre-mRNA processing 21, pre-mRNA splicing factor SF3a (120 kDa subunit), spliceosome associated protein 114, spliceosome-associated protein 114",H. sapiens,ENSG00000099995,88886,Ubiquitin-like,,10291,"splicing factor 3a, subunit 1, 120kDa",SF3A1_HUMAN,Q15459,"1ZKH, 2DT6, 2DT7","Poly-Gln, Poly-Glu, Poly-Pro"
SF3A2,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, P complex",17S U2 snRNP,"splicing factor 3a, subunit 2, 66kDa","SAP 62, pre-mRNA splicing factor SF3A, subunit 2, spliceosome associated protein 62, spliceosome-associated protein 62, splicing factor 3A subunit 2",H. sapiens,ENSG00000104897,49256,,,8175,"splicing factor 3a, subunit 2, 66kDa",SF3A2_HUMAN,"Q15428, B2RBU1, D6W605, O75245",,Pro-rich
SF3A3,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, P complex",17S U2 snRNP,"splicing factor 3a, subunit 3, 60kDa","SAP 61, pre-mRNA splicing factor SF3a (60kD), spliceosome associated protein 61, spliceosome-associated protein 61, splicing factor 3A subunit 3",H. sapiens,ENSG00000183431,58849,,,10946,"splicing factor 3a, subunit 3, 60kDa",SF3A3_HUMAN,"Q12874, D3DPT5, Q15460, Q5VT87",2DT7,Poly-Glu
RNU5A-1,"B complex, Bact complex, C complex, U5 snRNP, tri-snRNP, P complex",U5 snRNP,"RNA, U5A small nuclear 1",,H. sapiens,ENSG00000199568,37893,,,26831,"RNA, U5A small nuclear",,,,
SNRNP200,"B complex, Bact complex, C complex, U5 snRNP, tri-snRNP, P complex",U5 snRNP,small nuclear ribonucleoprotein 200kDa (U5),"BRR2 homolog, U5 small nuclear ribonucleoprotein 200 kDa helicase, U5 snRNP-specific 200 kDa protein, activating signal cointegrator 1 complex subunit 3-like 1",H. sapiens,ENSG00000144028,244508,"Helicase ATP-binding, Helicase C-terminal, SEC63","DEIH box, DEVH box",23020,small nuclear ribonucleoprotein 200kDa (U5),U520_HUMAN,"O75643, O94884, Q6NZY0, Q6PX59, Q8NBE6",2Q0Z,
PRPF8,"B complex, Bact complex, C complex, U5 snRNP, tri-snRNP, P complex",U5 snRNP,PRP8 pre-mRNA processing factor 8 homolog (S. cerevisiae),"220 kDa U5 snRNP-specific protein, PRP8 homolog, U5 snRNP-specific protein (220 kD), ortholog of S. cerevisiae Prp8p, apoptosis-regulated protein 1, apoptosis-regulated protein 2",H. sapiens,ENSG00000174231,273600,MPN,,10594,PRP8 pre-mRNA processing factor 8 homolog (S. cerevisiae),PRP8_HUMAN,"Q6P2Q9, O14547, O75965","3E9L, 3ENB, 3LRU",
EFTUD2,"B complex, Bact complex, C complex, U5 snRNP, tri-snRNP, P complex",U5 snRNP,elongation factor Tu GTP binding domain containing 2,"116 kDa U5 small nuclear ribonucleoprotein component, SNU114 homolog, U5 snRNP-specific protein, 116 kDa, elongation factor Tu GTP-binding domain-containing protein 2, hSNU114",H. sapiens,ENSG00000108883,109436,,,9343,elongation factor Tu GTP binding domain containing 2,U5S1_HUMAN,"Q15029, D3DX58, Q9BUR0",,
SNRNP40,"B complex, Bact complex, C complex, U5 snRNP, tri-snRNP, P complex",U5 snRNP,small nuclear ribonucleoprotein 40kDa (U5),"38 kDa-splicing factor, Prp8-binding protein, U5 small nuclear ribonucleoprotein 40 kDa protein, U5 snRNP 40 kDa protein, U5 snRNP-specific 40 kDa protein (hPrp8-binding)",H. sapiens,ENSG00000060688,39311,,,9410,small nuclear ribonucleoprotein 40kDa (U5),SNR40_HUMAN,A0MNP2,,
RNU6-1,"B complex, Bact complex, C complex, U4/U6 snRNP, tri-snRNP, P complex",U4/U6 snRNP,"RNA, U6 small nuclear 1",,H. sapiens,ENSG00000206625,34512,,,26827,"RNA, U6 small nuclear 1",,,,
PRPF19,"B complex, Bact complex, C complex, P complex",PRP19 complex,PRP19/PSO4 pre-mRNA processing factor 19 homolog (S. cerevisiae),"PRP19/PSO4 homolog, nuclear matrix protein 200, nuclear matrix protein NMP200 related to splicing factor PRP19, pre-mRNA-processing factor 19, senescence evasion factor",H. sapiens,ENSG00000110107,55181,U-box,,27339,PRP19/PSO4 pre-mRNA processing factor 19 homolog (S. cerevisiae),PRP19_HUMAN,Q9UMS4,,
CDC5L,"B complex, Bact complex, C complex, P complex",PRP19 complex,CDC5 cell division cycle 5-like (S. pombe),"Cdc5-related protein, cell division cycle 5-like protein, dJ319D22.1 (CDC5-like protein), pombe cdc5-related protein",H. sapiens,ENSG00000096401,92251,HTH myb-type,,988,CDC5 cell division cycle 5-like (S. pombe),CDC5L_HUMAN,"Q99459, Q76N46, Q99974","2DIM, 2DIN",
PLRG1,"B complex, Bact complex, C complex, P complex",PRP19 complex,pleiotropic regulator 1,"pleiotropic regulator 1, pleiotropic regulator 1 (PRL1 homolog, Arabidopsis)",H. sapiens,ENSG00000171566,57194,,,5356,"pleiotropic regulator 1 (PRL1 homolog, Arabidopsis)",PLRG1_HUMAN,"O43660, B3KMK4, Q3KQY5, Q8WUD8",,
CWC15,"B complex, Bact complex, C complex, P complex",PRP19 complex,CWC15 spliceosome-associated protein homolog (S. cerevisiae),"CWC15 homolog, protein CWC15 homolog",H. sapiens,ENSG00000150316,26624,,,51503,CWC15 spliceosome-associated protein homolog (S. cerevisiae),CWC15_HUMAN,"Q9P013, B2RC17, Q05BV9, Q05DM1, Q9UI29",,
BCAS2,"B complex, Bact complex, C complex, P complex",PRP19 complex,breast carcinoma amplified sequence 2,"DNA amplified in mammary carcinoma 1 protein, breast carcinoma-amplified sequence 2, pre-mRNA-splicing factor SPF27, spliceosome associated protein, amplified in breast cancer, spliceosome-associated protein SPF 27",H. sapiens,ENSG00000116752,26131,,,10286,breast carcinoma amplified sequence 2,SPF27_HUMAN,"O75934, Q6FGS0",,
CTNNBL1,"B complex, Bact complex, C complex, P complex",PRP19 complex,"catenin, beta like 1","beta-catenin-like protein 1, nuclear associated protein, nuclear-associated protein, testis development protein NYD-SP19",H. sapiens,ENSG00000132792,65173,,,56259,"catenin, beta like 1",CTBL1_HUMAN,"Q8WYA6, Q0VAL9, Q53HI8, Q5JWZ2, Q5JWZ3",,Poly-Glu
HSPA8,"C complex, P complex",PRP19 complex,heat shock 70kDa protein 8,"LPS-associated protein 1, N-myristoyltransferase inhibitor protein 71, constitutive heat shock protein 70, heat shock 70kd protein 10, heat shock cognate 71 kDa protein",H. sapiens,ENSG00000109971,70898,,,3312,heat shock 70kDa protein 8,HSP7C_HUMAN,"P11142, Q9H3R6","3AGY, 3AGZ, 3ESK, 3FZF, 3FZH",
PPIE,"B complex, Bact complex, C complex, P complex",PRP19 related,peptidylprolyl isomerase E (cyclophilin E),"PPIase E, cyclophilin-33, peptidyl-prolyl cis-trans isomerase E, rotamase E",H. sapiens,ENSG00000084072,33431,"PPIase cyclophilin-type, RRM",,10450,peptidylprolyl isomerase E (cyclophilin E),PPIE_HUMAN,"Q9UNP9, B2R971, O43634, O43635, Q32Q72","1ZMF, 2CQB, 2KU7, 2KYX, 2R99",Poly-Ala
CRNKL1,"B complex, Bact complex, C complex, P complex",PRP19 related,crooked neck pre-mRNA splicing factor-like 1 (Drosophila),"Crn, crooked neck-like 1, crooked neck homolog, crooked neck-like 1, crooked neck-like protein 1",H. sapiens,ENSG00000101343,100452,,,51340,crooked neck pre-mRNA splicing factor-like 1 (Drosophila),CRNL1_HUMAN,"Q9BZJ0, A8K9T4, Q5JY64, Q8WYI5, Q9BZI9",,Poly-Pro
SNW1,"B complex, Bact complex, C complex, P complex",PRP19 related,SNW domain containing 1,"SKI interacting protein, SKI-interacting protein, SNW domain-containing protein 1, homolog of Drosophila BX42, nuclear protein SkiP",H. sapiens,ENSG00000100603,61494,,,22938,SNW domain containing 1,SNW1_HUMAN,"Q13573, A8K8A9, Q13483, Q32N03, Q5D0D6",,Pro-rich
ISY1,"B complex, Bact complex, C complex, P complex",PRP19 related,ISY1 splicing factor homolog (S. cerevisiae),"functional spliceosome-associated protein 33, pre-mRNA-splicing factor ISY1 homolog",H. sapiens,ENSG00000240682,32992,,,57461,ISY1 splicing factor homolog (S. cerevisiae),ISY1_HUMAN,"Q9ULR0, Q96IL2, Q9BT05",,Poly-Glu
XAB2,"B complex, Bact complex, C complex, P complex",PRP19 related,XPA binding protein 2,"SYF1 homolog, RNA splicing factor, XPA-binding protein 2, crn-related protein kim1, pre-mRNA-splicing factor SYF1",H. sapiens,ENSG00000076924,100010,,,56949,XPA binding protein 2,SYF1_HUMAN,"Q9HCS7, Q8TET6, Q96HB0, Q96IW0, Q9NRG6",,
RBM22,"B complex, Bact complex, C complex, P complex",PRP19 related,RNA binding motif protein 22,"RNA-binding motif protein 22, functional spliceosome-associated protein 47, pre-mRNA-splicing factor RBM22, zinc finger CCCH domain-containing protein 16",H. sapiens,ENSG00000086589,46896,RRM,,55696,RNA binding motif protein 22,RBM22_HUMAN,"Q9NW64, A6NDM5, B4DLI9, O95607",2YTC,Pro-rich
PPIL1,"B complex, Bact complex, C complex, P complex",PRP19 related,peptidylprolyl isomerase (cyclophilin)-like 1,"cyclophilin-related gene 1, peptidyl-prolyl cis-trans isomerase, peptidyl-prolyl cis-trans isomerase-like 1, rotamase PPIL1",H. sapiens,ENSG00000137168,18237,PPIase cyclophilin-type,,51645,peptidylprolyl isomerase (cyclophilin)-like 1,PPIL1_HUMAN,"Q9Y3C6, O15001, Q5TDC9","1XWN, 2K7N, 2X7K",
BUD31,"B complex, Bact complex, C complex, P complex",PRP19 related,BUD31 homolog (S. cerevisiae),"G10 maternal transcript homolog, functional spliceosome-associated protein 17, maternal G10 transcript, protein BUD31 homolog, protein EDG-2",H. sapiens,ENSG00000106245,17000,,Nuclear localization signal,8896,BUD31 homolog (S. cerevisiae),BUD31_HUMAN,"P41223, A4D274, D6W5S6, Q6IB53, Q9UDV1",,
AQR,"B complex, Bact complex, C complex, P complex",PRP19 related,aquarius homolog (mouse),"functional spliceosome-associated protein 164, intron-binding protein aquarius, intron-binding protein of 160 kDa",H. sapiens,ENSG00000021776,171295,,,9716,aquarius homolog (mouse),AQR_HUMAN,"O60306, A0JP17, A5YKK3, Q2YDX9, Q6IRU8",,
CWC27,"Bact complex, C complex, P complex",Recruited at Bact complex,CWC27 spliceosome-associated protein homolog (S. cerevisiae),"PPIase CWC27, PPIase SDCCAG10, antigen NY-CO-10, peptidyl-prolyl cis-trans isomerase CWC27 homolog, peptidyl-prolyl cis-trans isomerase SDCCAG10",H. sapiens,ENSG00000153015,53847,PPIase cyclophilin-type,,10283,CWC27 spliceosome-associated protein homolog (S. cerevisiae),CWC27_HUMAN,"Q6UX04, O60529, O60530, Q96EM3",2HQ6,
DHX16,"Bact complex, C complex, P complex",Recruited at Bact complex,DEAH (Asp-Glu-Ala-His) box polypeptide 16,"ATP-dependent RNA helicase #3, DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 16, DEAD/H box 16, DEAH-box protein 16, RNA helicase",H. sapiens,ENSG00000204560,119264,"Helicase ATP-binding, Helicase C-terminal",DEAH box,8449,DEAH (Asp-Glu-Ala-His) box polypeptide 16,DHX16_HUMAN,"O60231, O60322, Q5JP45, Q969X7, Q96QC1",,
CWC22,"Bact complex, C complex, P complex",Recruited at Bact complex,CWC22 spliceosome-associated protein homolog (S. cerevisiae),"functional spliceosome-associated protein b, nucampholin homolog, pre-mRNA-splicing factor CWC22 homolog",H. sapiens,ENSG00000163510,105466,"MI, MIF4G",,57703,CWC22 spliceosome-associated protein homolog (S. cerevisiae),CWC22_HUMAN,"Q9HCG8, Q05DC2, Q4G135, Q52LF0, Q6PEX2",,"Arg-rich, Poly-Glu, Poly-Lys, Ser-rich"
ZNF830,"Bact complex, C complex, P complex",Recruited at Bact complex,zinc finger protein 830,"coiled-coil domain containing 16, coiled-coil domain-containing protein 16, hypothetical protein MGC20398, sel-13 suppressor of lin-12 homolog, zinc finger protein 830",H. sapiens,ENSG00000198783,41999,,,91603,zinc finger protein 830,ZN830_HUMAN,"Q96NB3, Q96F60, Q96GZ5, Q9BU38",,
CCDC12,"Bact complex, C complex, P complex",Recruited at Bact complex,coiled-coil domain containing 12,coiled-coil domain-containing protein 12,H. sapiens,ENSG00000160799,19181,,,151903,coiled-coil domain containing 12,CCD12_HUMAN,"Q8WUD4, Q8N8I4",,
GPKOW,"Bact complex, C complex, P complex",Recruited at Bact complex,G patch domain and KOW motifs,"G patch domain and KOW motifs-containing protein, protein MOS2 homolog",H. sapiens,ENSG00000068394,52229,"G-patch, KOW",,27238,G patch domain and KOW motifs,GPKOW_HUMAN,"Q92917, Q59EK5, Q9BQA8",,
RNF113A,"Bact complex, C complex, P complex",Recruited at Bact complex,ring finger protein 113A,"RING finger protein 113A, zinc finger protein 183 (RING finger, C3HC4 type)",H. sapiens,ENSG00000125352,38787,,,7737,ring finger protein 113A,R113A_HUMAN,O15541,,Poly-Glu
GPATCH1,"Bact complex, C complex",Recruited at Bact complex,G patch domain containing 1,"G patch domain-containing protein 1, evolutionarily conserved G patch domain containing, evolutionarily conserved G-patch domain containing, evolutionarily conserved G-patch domain-containing protein",H. sapiens,ENSG00000076650,103345,G-patch,,55094,G patch domain containing 1,GPTC1_HUMAN,"Q9BRR8, Q8IZV6, Q8N3B7, Q9NW94",,
SYF2,"C complex, P complex",Recruited at C complex,"SYF2 homolog, RNA splicing factor (S. cerevisiae)","CCNDBP1 interactor, CCNDBP1-interactor, GCIP-interacting protein p29, functional spliceosome-associated protein 29, pre-mRNA-splicing factor SYF2",H. sapiens,ENSG00000117614,28722,,,25949,"SYF2 homolog, RNA splicing factor (S. cerevisiae)",SYF2_HUMAN,"O95926, Q5TH73",,
DDX41,"C complex, P complex",Recruited at C complex,DEAD (Asp-Glu-Ala-Asp) box polypeptide 41,"2900024F02Rik, DEAD box protein 41, DEAD box protein abstrakt homolog, DEAD-box protein abstrakt, probable ATP-dependent RNA helicase DDX41",H. sapiens,ENSG00000183258,69838,"Helicase ATP-binding, Helicase C-terminal","DEAD box, Q motif",51428,DEAD (Asp-Glu-Ala-Asp) box polypeptide 41,DDX41_HUMAN,"Q9UJV9, B2RDC8, Q96BK6, Q96K05, Q9NT96",2P6N,
CXorf56,"C complex, P complex",Recruited at C complex,chromosome X open reading frame 56,UPF0428 protein CXorf56,H. sapiens,ENSG00000018610,25625,,,63932,chromosome X open reading frame 56,CX056_HUMAN,"Q9H5V9, D3DWH9, O43351",,
DGCR14,"C complex, P complex",Recruited at C complex,DiGeorge syndrome critical region gene 14,"DiGeorge syndrome critical region gene 13, DiGeorge syndrome critical region gene DGSI, DiGeorge syndrome gene H, DiGeorge syndrome gene I, Protein DGCR13",H. sapiens,ENSG00000100056,52568,,,8220,DiGeorge syndrome critical region gene 14,DGC14_HUMAN,"Q96DF8, Q49AH7, Q9BTZ4",,
C9orf78,"C complex, P complex",Recruited at C complex,chromosome 9 open reading frame 78,"hepatocellular carcinoma-associated antigen 59, uncharacterized protein C9orf78",H. sapiens,ENSG00000136819,33688,,,51759,chromosome 9 open reading frame 78,CI078_HUMAN,"Q9NZ63, B3KPX8, Q8WVU6, Q9NT39",,
PPIL3,"C complex, P complex",Recruited at C complex,peptidylprolyl isomerase (cyclophilin)-like 3,"PPIase, PPIase-like protein 3, cyclophilin J, cyclophilin-like protein 3, cyclophilin-like protein PPIL3",H. sapiens,ENSG00000240344,18155,PPIase cyclophilin-type,,53938,peptidylprolyl isomerase (cyclophilin)-like 3,PPIL3_HUMAN,"Q9H2H8, Q86WF9, Q96IA9, Q9BXZ1","1XYH, 2OJU, 2OK3",
PPWD1,"C complex, P complex",Recruited at C complex,peptidylprolyl isomerase domain and WD repeat containing 1,"peptidylprolyl isomerase domain and WD repeat-containing protein 1, spliceosome-associated cyclophilin",H. sapiens,ENSG00000113593,73575,PPIase cyclophilin-type,,23398,peptidylprolyl isomerase domain and WD repeat containing 1,PPWD1_HUMAN,"Q96BP3, Q15002, Q7KZ89",2A2N,Poly-Arg
DHX35,C complex,Recruited at C complex,DEAH (Asp-Glu-Ala-His) box polypeptide 35,"DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 35, DEAH box protein 35, DEAH-box protein 35, probable ATP-dependent RNA helicase DHX35",H. sapiens,ENSG00000101452,78910,"Helicase ATP-binding, Helicase C-terminal",DEAH box,60625,DEAH (Asp-Glu-Ala-His) box polypeptide 35,DHX35_HUMAN,"Q9H5Z1, A2RTX3, Q5THR0, Q9H4H7, Q9H6T6",,
CACTIN,"C complex, P complex",Recruited at C complex,"cactin, spliceosome C complex subunit","NY REN 24 antigen, NY-REN-24 antigen, cactin homolog, functional spliceosome-associated protein c, renal carcinoma antigen NY-REN-24",H. sapiens,ENSG00000105298,88702,,,58509,chromosome 19 open reading frame 29,CS029_HUMAN,"Q8WUQ7, A6NNA9, A9UL12, O75229, Q7LE08",,"Poly-Ala, Poly-Arg"
NOSIP,"C complex, P complex",Recruited at C complex,nitric oxide synthase interacting protein,"eNOS interacting protein, eNOS-interacting protein, nitric oxide synthase-interacting protein",H. sapiens,ENSG00000142546,33172,,Nuclear localization signal,51070,nitric oxide synthase interacting protein,NOSIP_HUMAN,"Q9Y314, Q96FD2",,
WDR83,"C complex, P complex",Recruited at C complex,WD repeat domain 83,"MAPK organizer 1, WD repeat domain-containing protein 83, mitogen-activated protein kinase organizer 1",H. sapiens,ENSG00000123154,34343,,,84292,WD repeat domain 83,WDR83_HUMAN,"Q9BRX9, B2RAF1, Q53FT6",,
FAM50A,"C complex, P complex",Recruited at C complex,"family with sequence similarity 50, member A","protein FAM50A, protein XAP-5",H. sapiens,ENSG00000071859,40242,,Nuclear localization signal,9130,"family with sequence similarity 50, member A",FA50A_HUMAN,"Q14320, A8KAQ4, B2R997, Q5HY37",,
PPIG,"C complex, P complex",Recruited at C complex,peptidylprolyl isomerase G (cyclophilin G),"CARS-cyclophilin, CASP10, Clk-associating RS-cyclophilin, PPIase G, SR-cyclophilin",H. sapiens,ENSG00000138398,88617,PPIase cyclophilin-type,,9360,peptidylprolyl isomerase G (cyclophilin G),PPIG_HUMAN,"Q13427, D3DPC5, D3DPC6, O00706, Q53R40","2GW2, 2WFI, 2WFJ","Arg/Lys-rich (basic), Arg/Ser-rich (RS domain), Asp/Glu/Ser-rich, Poly-Arg, Poly-Ser"
SDE2,"C complex, P complex",Recruited at C complex,SDE2 telomere maintenance homolog,Sde2 UPF0667 protein C1orf55,H. sapiens,ENSG00000143751,49742,,,163859,SDE2 telomere maintenance homolog,SDE2_HUMAN,"Q6IQ49, A8K4P3, Q5TD36, Q6ZS26, Q8NAG7",,
CDK10,"C complex, P complex",Recruited at C complex,cyclin-dependent kinase 10,"CDC2-related protein kinase, cell division protein kinase 10, cyclin-dependent kinase (CDC2-like) 10, cyclin-dependent kinase 10, cyclin-dependent kinase related protein",H. sapiens,ENSG00000185324,41038,Protein kinase,,8558,cyclin-dependent kinase 10,CDK10_HUMAN,"Q15131, A8MXU6, B7Z420, D3DX82, D3DX83",,
