Gene Symbol,Complex,Class / family,Full name from Entrez,More Aliases from Entrez,Organism,Ensemble Gene ID,Molecular weight from SwissProt,Domains from SwissProt,Motifs from SwissProt,Entrez Gene ID,Full Gene Name from Entrez,UniProt Entry Name,Other UniProt Accessions,Pdbs,Compositional AA Bias from SwissProt
RNF34,,other rna binding domain containing,"ring finger protein 34, E3 ubiquitin protein ligase","E3 ubiquitin-protein ligase RNF34, FYVE-RING finger protein MOMO, RING finger protein RIFF, caspase regulator CARP1, caspases-8 and -10-associated RING finger protein 1",H. sapiens,ENSG00000170633,41641,SAP,,80196,ring finger protein 34,RNF34_HUMAN,"Q969K3, B7Z933, Q8NG47, Q9H6W8",,Asp-rich
RBM3,,other rna binding domain containing,"RNA binding motif (RNP1, RRM) protein 3","RNA-binding motif protein 3, putative RNA-binding protein 3",H. sapiens,ENSG00000102317,17170,RRM,,5935,"RNA binding motif (RNP1, RRM) protein 3",RBM3_HUMAN,P98179,,Gly-rich
ZC3H13,,other rna binding domain containing,zinc finger CCCH-type containing 13,zinc finger CCCH domain-containing protein 13,H. sapiens,ENSG00000123200,57393,,,23091,zinc finger CCCH-type containing 13,A0PJJ2_HUMAN,A0PJJ2,,"Arg/Glu-rich, Arg/Ser-rich, Lys-rich, Ser-rich"
RBM45,,other rna binding domain containing,RNA binding motif protein 45,"RB-1, RNA-binding motif protein 45, RNA-binding protein 45, developmentally regulated RNA-binding protein 1, developmentally-regulated RNA-binding protein 1",H. sapiens,ENSG00000155636,53502,RRM,,129831,RNA binding motif protein 45,RBM45_HUMAN,"Q8IUH3, Q6NYL0, Q8NFC9",,
DDX6,,other rna binding domain containing,DEAD (Asp-Glu-Ala-Asp) box helicase 6,"ATP-dependent RNA helicase p54, DEAD (Asp-Glu-Ala-Asp) box polypeptide 6, DEAD box protein 6, DEAD box-6, DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 6 (RNA helicase, 54kD)",H. sapiens,ENSG00000110367,54417,"Helicase ATP-binding, Helicase C-terminal","DEAD box, Q motif",1656,DEAD (Asp-Glu-Ala-Asp) box polypeptide 6,DDX6_HUMAN,"P26196, Q5D048","1VEC, 2WAX, 2WAY",
RBMXL1,,other rna binding domain containing,"RNA binding motif protein, X-linked-like 1","RNA binding motif protein, X-linked-like-1, heterogeneous nuclear ribonucleoprotein G-like 1",H. sapiens,ENSG00000213516,42142,RRM,,494115,"RNA binding motif protein, X-linked-like 1",RMXL1_HUMAN,Q96E39,,Ser-rich
ZMAT5,,other rna binding domain containing,"zinc finger, matrin-type 5","U11/U12 small nuclear ribonucleoprotein 20 kDa protein, U11/U12 snRNP 20 kDa protein, U11/U12 snRNP 20K, U11/U12-20K, zinc finger matrin-type protein 5",H. sapiens,ENSG00000100319,19971,,,55954,"zinc finger, matrin-type 5",ZMAT5_HUMAN,"Q9UDW3, A8K9F6",,
RNF213,,other rna binding domain containing,ring finger protein 213,"ALK lymphoma oligomerization partner on chromosome 17, RING finger protein 213, mysterin",H. sapiens,ENSG00000173821,591407,,,57674,ring finger protein 213,RN213_HUMAN,"Q63HN8, C9JCP4, D6RI12, F8WKS1, Q658P6",,
RBM4,,other rna binding domain containing,RNA binding motif protein 4,"RNA-binding motif protein 4a, RNA-binding protein 4, lark homolog, transcriptional coactivator CoAZ, zinc finger CCHC-type and RNA binding motif 3A",H. sapiens,"ENSG00000173933, ENSG00000248643",40314,RRM,,5936,RNA binding motif protein 4,RBM4_HUMAN,"Q9BWF3, B3KUN0, O02916, Q4VC48, Q6P1P2",2DNQ,Poly-Ala
DDX39B,,other rna binding domain containing,DEAD (Asp-Glu-Ala-Asp) box polypeptide 39B,"56 kDa U2AF65-associated protein, ATP-dependent RNA helicase p47, HLA-B-associated transcript 1 protein, nuclear RNA helicase (DEAD family), spliceosome RNA helicase BAT1",H. sapiens,ENSG00000198563,48991,"Helicase ATP-binding, Helicase C-terminal","DECD box, Q motif",7919,DEAD (Asp-Glu-Ala-Asp) box polypeptide 39B,DX39B_HUMAN,"Q13838, B0S8C0, O43496, Q0EFA1, Q2L6F9","1T5I, 1T6N, 1XTI, 1XTJ, 1XTK",
DDX3Y,,other rna binding domain containing,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked","ATP-dependent RNA helicase DDX3Y, DEAD box protein 3, Y-chromosomal, DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide, Y chromosome",H. sapiens,ENSG00000067048,73154,"Helicase ATP-binding, Helicase C-terminal","DEAD box, Q motif",8653,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked",DDX3Y_HUMAN,"O15523, Q8IYV7",,
ZMYM3,,other rna binding domain containing,"zinc finger, MYM-type 3","zinc finger MYM-type protein 3, zinc finger protein 261",H. sapiens,ENSG00000147130,52527,,,9203,"zinc finger, MYM-type 3",A8K3Z7_HUMAN,A8K3Z7,,
RNF20,,other rna binding domain containing,"ring finger protein 20, E3 ubiquitin protein ligase","BRE1 E3 ubiquitin ligase homolog, BRE1-A, E3 ubiquitin-protein ligase BRE1A, homolog of S. cerevisiae BRE1",H. sapiens,ENSG00000155827,113662,,,56254,ring finger protein 20,BRE1A_HUMAN,"Q5VTR2, A7MCT5, Q2TB34, Q69YL5, Q6P527",,
RBM14,,other rna binding domain containing,RNA binding motif protein 14,"RNA-binding protein 14, RRM-containing coactivator activator/modulator, SYT-interacting protein, paraspeckle protein 2, synaptotagmin-interacting protein",H. sapiens,ENSG00000239306,69492,RRM,,10432,RNA binding motif protein 14,RBM14_HUMAN,"Q96PK6, B3KMN4, O75932, Q53GV1, Q68DQ9",2DNP,Ala-rich
ZC3H11A,,other rna binding domain containing,zinc finger CCCH-type containing 11A,"zinc finger CCCH domain-containing protein 11A, zinc finger CCCH-type domain containing 11A",H. sapiens,ENSG00000058673,89131,,,9877,zinc finger CCCH-type containing 11A,ZC11A_HUMAN,"O75152, Q6AHY4, Q6AHY9, Q6AW79, Q6AWA1",,Poly-Asp
DDX18,,other rna binding domain containing,DEAD (Asp-Glu-Ala-Asp) box polypeptide 18,"ATP-dependent RNA helicase DDX18, DEAD box protein 18, DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 18 (Myc-regulated), Myc-regulated DEAD box protein",H. sapiens,ENSG00000088205,75407,"Helicase ATP-binding, Helicase C-terminal","DEAD box, Q motif",8886,DEAD (Asp-Glu-Ala-Asp) box polypeptide 18,DDX18_HUMAN,"Q9NVP1, Q6GTZ9, Q6IAU4, Q92732, Q9BQB7",3LY5,"Poly-Gly, Poly-Lys"
RNF40,,other rna binding domain containing,"ring finger protein 40, E3 ubiquitin protein ligase","95 kDa retinoblastoma protein binding protein, 95 kDa retinoblastoma-associated protein, BRE1 E3 ubiquitin ligase homolog B, BRE1-B, E3 ubiquitin-protein ligase BRE1B",H. sapiens,ENSG00000103549,113549,,,9810,ring finger protein 40,A8K6K1_HUMAN,A8K6K1,,
ZNF346,,other rna binding domain containing,zinc finger protein 346,"double-stranded RNA-binding zinc finger protein JAZ, just another zinc finger protein, zinc finger protein 346",H. sapiens,ENSG00000113761,32933,,,23567,zinc finger protein 346,ZN346_HUMAN,"Q9UL40, Q68CV9, Q6ZMW1",,
DDX27,,other rna binding domain containing,DEAD (Asp-Glu-Ala-Asp) box polypeptide 27,"DEAD box protein 27, DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 27, RNA helicase-like protein, probable ATP-dependent RNA helicase DDX27",H. sapiens,ENSG00000124228,89835,"Helicase ATP-binding, Helicase C-terminal","DEAD box, Nuclear localization signal, Q motif",55661,DEAD (Asp-Glu-Ala-Asp) box polypeptide 27,DDX27_HUMAN,"Q96GQ7, A0AVB6, B7ZLY1, Q5VXM7, Q8WYG4",,Asp/Glu/Lys-rich
DHX36,,other rna binding domain containing,DEAH (Asp-Glu-Ala-His) box polypeptide 36,"DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 36, DEAH box protein 36, G4 resolvase-1, MLE-like protein 1, RNA helicase associated with AU-rich element ARE",H. sapiens,ENSG00000174953,114760,"Helicase ATP-binding, Helicase C-terminal","DEAH box, Nuclear localization signal",170506,DEAH (Asp-Glu-Ala-His) box polypeptide 36,DHX36_HUMAN,"Q9H2U1, B2RB00, Q70JU3, Q8IYE5, Q9P240",,Gly-rich
RBM15B,,other rna binding domain containing,RNA binding motif protein 15B,"RNA-binding motif protein 15B, chromosome 3p21.1 gene sequence, huOTT3, one twenty two protein 3, one-twenty two protein 3",H. sapiens,ENSG00000179837,97205,"RRM, SPOC",Nuclear localization signal,29890,RNA binding motif protein 15B,RB15B_HUMAN,"Q8NDT2, Q6QE19, Q9BV96",,His-rich
ZC3HAV1,,other rna binding domain containing,"zinc finger CCCH-type, antiviral 1","zinc finger CCCH domain-containing protein 2, zinc finger CCCH-type antiviral protein 1",H. sapiens,ENSG00000105939,101431,"PARP catalytic, WWE","Nuclear export signal, Nuclear localization signal",56829,"zinc finger CCCH-type, antiviral 1",ZCCHV_HUMAN,"Q7Z2W4, A4D1R2, A4D1S4, Q8IW57, Q8TAJ3",2X5Y,
ZCRB1,,other rna binding domain containing,zinc finger CCHC-type and RNA binding motif 1,"U11/U12 small nuclear ribonucleoprotein 31 kDa protein, U11/U12 snRNP 31 kDa protein, U11/U12 snRNP 31K, U11/U12-31K, zinc finger CCHC-type and RNA-binding motif-containing protein 1",H. sapiens,ENSG00000139168,24592,RRM,,85437,zinc finger CCHC-type and RNA binding motif 1,ZCRB1_HUMAN,"Q8TBF4, Q6PJX0, Q96TA6",2E5H,Poly-Lys
ZNF326,,other rna binding domain containing,zinc finger protein 326,"DBIRD complex subunit ZNF326, ZNF-protein interacting with nuclear mRNPs and DBC1, dJ871E2.1 (novel protein (ortholog of mouse zinc finger protein Zan75)), zinc finger protein interacting with mRNPs",H. sapiens,ENSG00000162664,65654,,Bipartite nuclear localization signal,284695,zinc finger protein 326,ZN326_HUMAN,"Q5BKZ1, A8MYX1, B4DLN0, B4E179, Q5VW93",,"Glu-rich, Gly-rich"
GPATCH3,,other rna binding domain containing,G patch domain containing 3,G patch domain-containing protein 3,H. sapiens,ENSG00000198746,59338,G-patch,,63906,G patch domain containing 3,GPTC3_HUMAN,"Q96I76, Q5JYH2, Q8NDJ2, Q9H9Z3",,Glu-rich
DHX30,,other rna binding domain containing,DEAH (Asp-Glu-Ala-His) box polypeptide 30,"ATP-dependent RNA helicase DHX30, DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 30, DEAH box protein 30, putative ATP-dependent RNA helicase DHX30, retina co-repressor",H. sapiens,ENSG00000132153,133938,"DRBM, Helicase ATP-binding, Helicase C-terminal",DEAH box,22907,DEAH (Asp-Glu-Ala-His) box polypeptide 30,DHX30_HUMAN,"Q7L2E3, A8K5F1, O94965, Q7Z753, Q96CH4",2DB2,Poly-Glu
ZNF131,,other rna binding domain containing,zinc finger protein 131,"zinc finger protein 131, zinc finger protein 131 (clone pHZ-10)",H. sapiens,ENSG00000172262,71422,BTB,,7690,zinc finger protein 131,ZN131_HUMAN,"P52739, B4DRL3, Q6PIF0",,
CHAMP1,,other rna binding domain containing,chromosome alignment maintaining phosphoprotein 1,"chromosome alignment-maintaining phosphoprotein 1, zinc finger protein 828",H. sapiens,ENSG00000198824,89099,,,283489,zinc finger protein 828,CHAP1_HUMAN,"Q96JM3, B3KU06, Q6P181, Q8NC88, Q9BST0",,Pro-rich
RBM27,,other rna binding domain containing,RNA binding motif protein 27,"RNA-binding motif protein 27, RNA-binding protein 27, acidic rich RS domain containing 1",H. sapiens,ENSG00000091009,118718,RRM,,54439,RNA binding motif protein 27,RBM27_HUMAN,"Q9P2N5, Q8IYW9",,"Arg-rich, Gln-rich, Pro-rich"
GPATCH8,,other rna binding domain containing,G patch domain containing 8,G patch domain-containing protein 8,H. sapiens,ENSG00000186566,164197,G-patch,,23131,G patch domain containing 8,GPTC8_HUMAN,"Q9UKJ3, B9EGP9, O60300, Q8TB99",,"Lys-rich, Poly-Ala, Poly-Arg, Poly-Gly, Ser-rich"
DHX40,,other rna binding domain containing,DEAH (Asp-Glu-Ala-His) box polypeptide 40,"DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 40 (RNA helicase), DEAH box protein 40, probable ATP-dependent RNA helicase DHX40",H. sapiens,ENSG00000108406,88560,"Helicase ATP-binding, Helicase C-terminal",DEAH box,79665,DEAH (Asp-Glu-Ala-His) box polypeptide 40,DHX40_HUMAN,"Q8IX18, B3KTJ5, Q5JPH4, Q8TC86, Q8WY53",,
DDX19B,,other rna binding domain containing,DEAD (Asp-Glu-Ala-Asp) box polypeptide 19B,"ATP-dependent RNA helicase DDX19, ATP-dependent RNA helicase DDX19B, DEAD (Asp-Glu-Ala-As) box polypeptide 19B, DEAD box RNA helicase DEAD5, DEAD box protein 19B",H. sapiens,ENSG00000157349,53927,"Helicase ATP-binding, Helicase C-terminal","DEAD box, Q motif",11269,DEAD (Asp-Glu-Ala-As) box polypeptide 19B,DD19B_HUMAN,"Q9UMR2, B3KNE9, Q6FIB7, Q6IAE0, Q96KE7","3EWS, 3FHC, 3FHT, 3FMO, 3FMP",
DHX57,,other rna binding domain containing,DEAH (Asp-Glu-Ala-Asp/His) box polypeptide 57,"DEAH box protein 57, DEAH-box RNA/DNA helicase AAM73547, putative ATP-dependent RNA helicase DHX57",H. sapiens,ENSG00000163214,155604,"Helicase ATP-binding, Helicase C-terminal, UBA",DEVH box,90957,DEAH (Asp-Glu-Ala-Asp/His) box polypeptide 57,DHX57_HUMAN,"Q6P158, A2RRC7, Q53SI4, Q6P9G1, Q7Z6H3",,Gly-rich
ZC3H4,,other rna binding domain containing,zinc finger CCCH-type containing 4,zinc finger CCCH domain-containing protein 4,H. sapiens,ENSG00000130749,140257,,,23211,zinc finger CCCH-type containing 4,ZC3H4_HUMAN,"Q9UPT8, Q9Y420",2CQE,"Gly-rich, Poly-Gly, Pro-rich"
AGGF1,,other rna binding domain containing,angiogenic factor with G patch and FHA domains 1,"G patch domain-containing protein 7, angiogenic factor VG5Q, angiogenic factor with G patch and FHA domains 1, vasculogenesis gene on 5q protein",H. sapiens,ENSG00000164252,80977,"FHA, G-patch",,55109,,AGGF1_HUMAN,"Q8N302, O00581, Q53YS3, Q9BU84, Q9NW66",,Poly-Pro
