Gene Symbol,Complex,Class / family,Full name from Entrez,More Aliases from Entrez,Organism,Ensemble Gene ID,Molecular weight from SwissProt,Domains from SwissProt,Motifs from SwissProt,Entrez Gene ID,Full Gene Name from Entrez,UniProt Entry Name,Other UniProt Accessions,Pdbs,Compositional AA Bias from SwissProt
HNRNPD,,hnRNP,"heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)","ARE-binding protein AUFI, type A, heterogeneous nuclear ribonucleoprotein D0, hnRNP D0",H. sapiens,ENSG00000138668,38434,RRM,,3184,"heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)",HNRPD_HUMAN,"Q14103, A8K9J2, P07029, Q01858, Q14100","1HD0, 1HD1, 1IQT, 1WTB, 1X0F","Ala-rich, Gly-rich, Tyr-rich"
HNRNPF,,hnRNP,heterogeneous nuclear ribonucleoprotein F,"HnRNP F protein, heterogeneous nuclear ribonucleoprotein F, nucleolin-like protein mcs94-1",H. sapiens,ENSG00000169813,45672,RRM,,3185,heterogeneous nuclear ribonucleoprotein F,HNRPF_HUMAN,"P52597, B3KM84, Q5T0N2, Q96AU2","2HGL, 2HGM, 2HGN, 2KFY, 2KG0",
RBMX,,hnRNP,"RNA binding motif protein, X-linked","RNA binding motif protein, X chromosome, RNA-binding motif protein, X chromosome, glycoprotein p43, heterogeneous nuclear ribonucleoprotein G, hnRNP G",H. sapiens,ENSG00000147274,42332,RRM,,27316,"RNA binding motif protein, X-linked",RBMX_HUMAN,"P38159, B4E3U4, D3DWH0, E9PG86, Q5JQ67",,
HNRNPH1,,hnRNP,heterogeneous nuclear ribonucleoprotein H1 (H),heterogeneous nuclear ribonucleoprotein H,H. sapiens,ENSG00000169045,49229,RRM,,3187,heterogeneous nuclear ribonucleoprotein H1 (H),HNRH1_HUMAN,"P31943, B3KW86, D3DWQ2, Q6IBM4",,
HNRNPH3,,hnRNP,heterogeneous nuclear ribonucleoprotein H3 (2H9),"heterogeneous nuclear ribonucleoprotein 2H9, heterogeneous nuclear ribonucleoprotein H3, hnRNP 2H9, hnRNP H3",H. sapiens,ENSG00000096746,36926,RRM,,3189,heterogeneous nuclear ribonucleoprotein H3 (2H9),HNRH3_HUMAN,"P31942, A8K682, B3KRE1, Q9BSX1, Q9NP53",,Gly-rich
HNRNPK,,hnRNP,heterogeneous nuclear ribonucleoprotein K,"dC-stretch binding protein, heterogeneous nuclear ribonucleoprotein K, transformation upregulated nuclear protein",H. sapiens,ENSG00000165119,50976,KH,,3190,heterogeneous nuclear ribonucleoprotein K,HNRPK_HUMAN,"P61978, Q07244, Q15671, Q59F98, Q5T6W4","1J5K, 1KHM, 1ZZI, 1ZZJ, 1ZZK",Poly-Pro
HNRNPL,,hnRNP,heterogeneous nuclear ribonucleoprotein L,"heterogeneous nuclear ribonucleoprotein L, hnRNP L",H. sapiens,ENSG00000104824,64133,RRM,,3191,heterogeneous nuclear ribonucleoprotein L,HNRPL_HUMAN,"P14866, A6ND69, Q9H3P3","3R27, 3TO8","Gly-rich, Pro-rich"
HNRNPM,,hnRNP,heterogeneous nuclear ribonucleoprotein M,"CEA receptor, N-acetylglucosamine receptor 1, heterogeneous nuclear ribonucleoprotein M, heterogenous nuclear ribonucleoprotein M4, hnRNA-binding protein M4",H. sapiens,ENSG00000099783,77516,RRM,,4670,heterogeneous nuclear ribonucleoprotein M,HNRPM_HUMAN,"P52272, Q15584, Q8WZ44, Q96H56, Q9BWL9","2DGV, 2DH9, 2DO0, 2OT8",Poly-Gly
HNRNPR,,hnRNP,heterogeneous nuclear ribonucleoprotein R,heterogeneous nuclear ribonucleoprotein R,H. sapiens,ENSG00000125944,70943,RRM,Nuclear localization signal,10236,heterogeneous nuclear ribonucleoprotein R,HNRPR_HUMAN,"O43390, Q5TEH1, Q9BV64",2DK2,"Asn/Gln-rich, Asp/Glu-rich (acidic)"
HNRNPU,,hnRNP,heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A),"heterogeneous nuclear ribonucleoprotein U, p120 nuclear protein, pp120, scaffold attachment factor A",H. sapiens,ENSG00000153187,90584,"B30.2/SPRY, SAP",,3192,heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A),HNRPU_HUMAN,"Q00839, O75507, Q8N174, Q96HY9, Q9BQ09",1ZRJ,"Asp/Glu-rich (acidic), Gln-rich, Gly-rich, Poly-Glu, Poly-Gly"
RALY,,hnRNP,"RNA binding protein, autoantigenic (hnRNP-associated with lethal yellow homolog (mouse))","RNA-binding protein (autoantigenic), RNA-binding protein (autoantigenic, hnRNP-associated with lethal yellow), RNA-binding protein Raly, autoantigen p542, heterogeneous nuclear ribonucleoprotein C-like 2",H. sapiens,ENSG00000125970,32463,RRM,,22913,"RNA binding protein, autoantigenic (hnRNP-associated with lethal yellow homolog (mouse))",RALY_HUMAN,"Q9UKM9, Q14621, Q2M365, Q5QPL8, Q9BQX6",1WF1,Poly-Gly
SYNCRIP,,hnRNP,"synaptotagmin binding, cytoplasmic RNA interacting protein","NS1-associated protein 1, glycine- and tyrosine-rich RNA-binding protein, heterogeneous nuclear ribonucleoprotein Q",H. sapiens,ENSG00000135316,69603,RRM,Bipartite nuclear localization signal,10492,"synaptotagmin binding, cytoplasmic RNA interacting protein",HNRPQ_HUMAN,"O60506, E1P501, E1P502, Q53H05, Q5TCG2",2DGU,Poly-Tyr
HNRPLL,,hnRNP,heterogeneous nuclear ribonucleoprotein L-like,"heterogeneous nuclear ribonucleoprotein L-like, stromal RNA regulating factor, stromal RNA-regulating factor",H. sapiens,ENSG00000143889,60083,RRM,,92906,heterogeneous nuclear ribonucleoprotein L-like,HNRLL_HUMAN,"Q8WVV9, Q53T80, Q5JB51, Q659B9, Q8IVH5",,"Poly-Gly, Poly-Ser"
RALYL,,hnRNP,RALY RNA binding protein-like,"RNA-binding Raly-like protein, hRALYL, heterogeneous nuclear ribonucleoprotein C-like 3, hnRNP core protein C-like 3",H. sapiens,ENSG00000184672,32331,RRM,,138046,RALY RNA binding protein-like,RALYL_HUMAN,"Q86SE5, B3KTH2, Q6ZW87, Q8N1C2",,
HNRNPH2,,hnRNP,heterogeneous nuclear ribonucleoprotein H2 (H'),"FTP-3, heterogeneous nuclear ribonucleoprotein H-prime, heterogeneous nuclear ribonucleoprotein H2, hnRNP H', hnRNP H2",H. sapiens,ENSG00000126945,49264,RRM,,3188,heterogeneous nuclear ribonucleoprotein H2 (H'),HNRH2_HUMAN,"P55795, A1L400, Q9HHA7","1WEZ, 1WG5",
HNRNPUL2,,hnRNP,heterogeneous nuclear ribonucleoprotein U-like 2,"heterogeneous nuclear ribonucleoprotein U-like protein 2, scaffold-attachment factor A2",H. sapiens,ENSG00000214753,85105,"B30.2/SPRY, SAP",,221092,heterogeneous nuclear ribonucleoprotein U-like 2,HNRL2_HUMAN,"Q1KMD3, Q8N3B3",,"Glu-rich, Tyr-rich"
HNRPDL,,hnRNP,heterogeneous nuclear ribonucleoprotein D-like,"A+U-rich element RNA binding factor, AU-rich element RNA-binding factor, JKT41-binding protein, heterogeneous nuclear ribonucleoprotein D-like, hnRNP D-like",H. sapiens,ENSG00000152795,46438,RRM,,9987,heterogeneous nuclear ribonucleoprotein D-like,HNRDL_HUMAN,"O14979, Q6SPF2, Q7KZ74, Q7KZ75, Q96IM0",,"Gly-rich, Poly-Arg, Poly-Gln, Tyr-rich"
RBMXL2,,hnRNP,"RNA binding motif protein, X-linked-like 2","RNA-binding motif protein, X-linked-like-2, heterogeneous nuclear ribonucleoprotein G T, hnRNP G-T, testes specific heterogenous nuclear ribonucleoprotein G T, testes-specific heterogenous nuclear ribonucleoprotein G-T",H. sapiens,ENSG00000170748,42814,RRM,,27288,"RNA binding motif protein, X-linked-like 2",RMXL2_HUMAN,"O75526, Q6PEZ2, Q9NQU0",,Arg/Gly/Pro-rich
HNRNPCL1,,hnRNP,heterogeneous nuclear ribonucleoprotein C-like 1,"heterogeneous nuclear ribonucleoprotein C-like 1, hnRNP C-like-1, hnRNP core protein C-like 1",H. sapiens,ENSG00000179172,32142,RRM,,343069,heterogeneous nuclear ribonucleoprotein C-like 1,HNRCL_HUMAN,"O60812, B2RP44",,
