Gene Symbol,Complex,Class / family,Full name from Entrez,More Aliases from Entrez,Organism,Ensemble Gene ID,Molecular weight from SwissProt,Domains from SwissProt,Motifs from SwissProt,Entrez Gene ID,Full Gene Name from Entrez,UniProt Entry Name,Other UniProt Accessions,Pdbs,Compositional AA Bias from SwissProt
SF3B4,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, P complex",17S U2 snRNP,"splicing factor 3b, subunit 4, 49kDa","SAP 49, SF3b50, pre-mRNA-splicing factor SF3b 49 kDa subunit, spliceosomal protein, spliceosome-associated protein (U2 snRNP)",H. sapiens,ENSG00000143368,44386,RRM,,10262,"splicing factor 3b, subunit 4, 49kDa",SF3B4_HUMAN,"Q15427, Q5SZ63","1X5T, 1X5U",Poly-Pro
SF3B5,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, P complex",17S U2 snRNP,"splicing factor 3b, subunit 5, 10kDa","pre-mRNA-splicing factor SF3b 10 kDa subunit, splicing factor 3B subunit 5",H. sapiens,ENSG00000169976,10135,,,83443,"splicing factor 3b, subunit 5, 10kDa",SF3B5_HUMAN,"Q9BWJ5, B2R568, Q7RTV1",,
PHF5A,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, P complex",17S U2 snRNP,PHD finger protein 5A,"PHD finger-like domain protein 5A, PHD finger-like domain-containing protein 5A, PHD-finger 5a, splicing factor 3B associated 14 kDa protein, splicing factor 3B-associated 14 kDa protein",H. sapiens,ENSG00000100410,12405,,,84844,PHD finger protein 5A,PHF5A_HUMAN,"Q7RTV0, Q9UH06",,
SF3B6,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, P complex",17S U2 snRNP,p14,"SF3b 14 kDa subunit, pre-mRNA branch site protein p14, spliceosome-associated protein, 14 kDa subunit",H. sapiens,ENSG00000115128,14585,RRM,,51639,p14,SF3B6_HUMAN,Q9Y3B4,"2F9D, 2F9J, 2FHO, 3LQV",
SF3A1,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, P complex",17S U2 snRNP,"splicing factor 3a, subunit 1, 120kDa","SAP 114, pre-mRNA processing 21, pre-mRNA splicing factor SF3a (120 kDa subunit), spliceosome associated protein 114, spliceosome-associated protein 114",H. sapiens,ENSG00000099995,88886,Ubiquitin-like,,10291,"splicing factor 3a, subunit 1, 120kDa",SF3A1_HUMAN,Q15459,"1ZKH, 2DT6, 2DT7","Poly-Gln, Poly-Glu, Poly-Pro"
SF3A2,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, P complex",17S U2 snRNP,"splicing factor 3a, subunit 2, 66kDa","SAP 62, pre-mRNA splicing factor SF3A, subunit 2, spliceosome associated protein 62, spliceosome-associated protein 62, splicing factor 3A subunit 2",H. sapiens,ENSG00000104897,49256,,,8175,"splicing factor 3a, subunit 2, 66kDa",SF3A2_HUMAN,"Q15428, B2RBU1, D6W605, O75245",,Pro-rich
SF3A3,"17S U2 snRNP, A complex, B complex, Bact complex, C complex, P complex",17S U2 snRNP,"splicing factor 3a, subunit 3, 60kDa","SAP 61, pre-mRNA splicing factor SF3a (60kD), spliceosome associated protein 61, spliceosome-associated protein 61, splicing factor 3A subunit 3",H. sapiens,ENSG00000183431,58849,,,10946,"splicing factor 3a, subunit 3, 60kDa",SF3A3_HUMAN,"Q12874, D3DPT5, Q15460, Q5VT87",2DT7,Poly-Glu
RNU5A-1,"B complex, Bact complex, C complex, U5 snRNP, tri-snRNP, P complex",U5 snRNP,"RNA, U5A small nuclear 1",,H. sapiens,ENSG00000199568,37893,,,26831,"RNA, U5A small nuclear",,,,
SNRNP200,"B complex, Bact complex, C complex, U5 snRNP, tri-snRNP, P complex",U5 snRNP,small nuclear ribonucleoprotein 200kDa (U5),"BRR2 homolog, U5 small nuclear ribonucleoprotein 200 kDa helicase, U5 snRNP-specific 200 kDa protein, activating signal cointegrator 1 complex subunit 3-like 1",H. sapiens,ENSG00000144028,244508,"Helicase ATP-binding, Helicase C-terminal, SEC63","DEIH box, DEVH box",23020,small nuclear ribonucleoprotein 200kDa (U5),U520_HUMAN,"O75643, O94884, Q6NZY0, Q6PX59, Q8NBE6",2Q0Z,
PRPF8,"B complex, Bact complex, C complex, U5 snRNP, tri-snRNP, P complex",U5 snRNP,PRP8 pre-mRNA processing factor 8 homolog (S. cerevisiae),"220 kDa U5 snRNP-specific protein, PRP8 homolog, U5 snRNP-specific protein (220 kD), ortholog of S. cerevisiae Prp8p, apoptosis-regulated protein 1, apoptosis-regulated protein 2",H. sapiens,ENSG00000174231,273600,MPN,,10594,PRP8 pre-mRNA processing factor 8 homolog (S. cerevisiae),PRP8_HUMAN,"Q6P2Q9, O14547, O75965","3E9L, 3ENB, 3LRU",
EFTUD2,"B complex, Bact complex, C complex, U5 snRNP, tri-snRNP, P complex",U5 snRNP,elongation factor Tu GTP binding domain containing 2,"116 kDa U5 small nuclear ribonucleoprotein component, SNU114 homolog, U5 snRNP-specific protein, 116 kDa, elongation factor Tu GTP-binding domain-containing protein 2, hSNU114",H. sapiens,ENSG00000108883,109436,,,9343,elongation factor Tu GTP binding domain containing 2,U5S1_HUMAN,"Q15029, D3DX58, Q9BUR0",,
SNRNP40,"B complex, Bact complex, C complex, U5 snRNP, tri-snRNP, P complex",U5 snRNP,small nuclear ribonucleoprotein 40kDa (U5),"38 kDa-splicing factor, Prp8-binding protein, U5 small nuclear ribonucleoprotein 40 kDa protein, U5 snRNP 40 kDa protein, U5 snRNP-specific 40 kDa protein (hPrp8-binding)",H. sapiens,ENSG00000060688,39311,,,9410,small nuclear ribonucleoprotein 40kDa (U5),SNR40_HUMAN,A0MNP2,,
RNU6-1,"B complex, Bact complex, C complex, U4/U6 snRNP, tri-snRNP, P complex",U4/U6 snRNP,"RNA, U6 small nuclear 1",,H. sapiens,ENSG00000206625,34512,,,26827,"RNA, U6 small nuclear 1",,,,
PRPF19,"B complex, Bact complex, C complex, P complex",PRP19 complex,PRP19/PSO4 pre-mRNA processing factor 19 homolog (S. cerevisiae),"PRP19/PSO4 homolog, nuclear matrix protein 200, nuclear matrix protein NMP200 related to splicing factor PRP19, pre-mRNA-processing factor 19, senescence evasion factor",H. sapiens,ENSG00000110107,55181,U-box,,27339,PRP19/PSO4 pre-mRNA processing factor 19 homolog (S. cerevisiae),PRP19_HUMAN,Q9UMS4,,
CDC5L,"B complex, Bact complex, C complex, P complex",PRP19 complex,CDC5 cell division cycle 5-like (S. pombe),"Cdc5-related protein, cell division cycle 5-like protein, dJ319D22.1 (CDC5-like protein), pombe cdc5-related protein",H. sapiens,ENSG00000096401,92251,HTH myb-type,,988,CDC5 cell division cycle 5-like (S. pombe),CDC5L_HUMAN,"Q99459, Q76N46, Q99974","2DIM, 2DIN",
PLRG1,"B complex, Bact complex, C complex, P complex",PRP19 complex,pleiotropic regulator 1,"pleiotropic regulator 1, pleiotropic regulator 1 (PRL1 homolog, Arabidopsis)",H. sapiens,ENSG00000171566,57194,,,5356,"pleiotropic regulator 1 (PRL1 homolog, Arabidopsis)",PLRG1_HUMAN,"O43660, B3KMK4, Q3KQY5, Q8WUD8",,
CWC15,"B complex, Bact complex, C complex, P complex",PRP19 complex,CWC15 spliceosome-associated protein homolog (S. cerevisiae),"CWC15 homolog, protein CWC15 homolog",H. sapiens,ENSG00000150316,26624,,,51503,CWC15 spliceosome-associated protein homolog (S. cerevisiae),CWC15_HUMAN,"Q9P013, B2RC17, Q05BV9, Q05DM1, Q9UI29",,
BCAS2,"B complex, Bact complex, C complex, P complex",PRP19 complex,breast carcinoma amplified sequence 2,"DNA amplified in mammary carcinoma 1 protein, breast carcinoma-amplified sequence 2, pre-mRNA-splicing factor SPF27, spliceosome associated protein, amplified in breast cancer, spliceosome-associated protein SPF 27",H. sapiens,ENSG00000116752,26131,,,10286,breast carcinoma amplified sequence 2,SPF27_HUMAN,"O75934, Q6FGS0",,
CTNNBL1,"B complex, Bact complex, C complex, P complex",PRP19 complex,"catenin, beta like 1","beta-catenin-like protein 1, nuclear associated protein, nuclear-associated protein, testis development protein NYD-SP19",H. sapiens,ENSG00000132792,65173,,,56259,"catenin, beta like 1",CTBL1_HUMAN,"Q8WYA6, Q0VAL9, Q53HI8, Q5JWZ2, Q5JWZ3",,Poly-Glu
PPIE,"B complex, Bact complex, C complex, P complex",PRP19 related,peptidylprolyl isomerase E (cyclophilin E),"PPIase E, cyclophilin-33, peptidyl-prolyl cis-trans isomerase E, rotamase E",H. sapiens,ENSG00000084072,33431,"PPIase cyclophilin-type, RRM",,10450,peptidylprolyl isomerase E (cyclophilin E),PPIE_HUMAN,"Q9UNP9, B2R971, O43634, O43635, Q32Q72","1ZMF, 2CQB, 2KU7, 2KYX, 2R99",Poly-Ala
CRNKL1,"B complex, Bact complex, C complex, P complex",PRP19 related,crooked neck pre-mRNA splicing factor-like 1 (Drosophila),"Crn, crooked neck-like 1, crooked neck homolog, crooked neck-like 1, crooked neck-like protein 1",H. sapiens,ENSG00000101343,100452,,,51340,crooked neck pre-mRNA splicing factor-like 1 (Drosophila),CRNL1_HUMAN,"Q9BZJ0, A8K9T4, Q5JY64, Q8WYI5, Q9BZI9",,Poly-Pro
SNW1,"B complex, Bact complex, C complex, P complex",PRP19 related,SNW domain containing 1,"SKI interacting protein, SKI-interacting protein, SNW domain-containing protein 1, homolog of Drosophila BX42, nuclear protein SkiP",H. sapiens,ENSG00000100603,61494,,,22938,SNW domain containing 1,SNW1_HUMAN,"Q13573, A8K8A9, Q13483, Q32N03, Q5D0D6",,Pro-rich
ISY1,"B complex, Bact complex, C complex, P complex",PRP19 related,ISY1 splicing factor homolog (S. cerevisiae),"functional spliceosome-associated protein 33, pre-mRNA-splicing factor ISY1 homolog",H. sapiens,ENSG00000240682,32992,,,57461,ISY1 splicing factor homolog (S. cerevisiae),ISY1_HUMAN,"Q9ULR0, Q96IL2, Q9BT05",,Poly-Glu
XAB2,"B complex, Bact complex, C complex, P complex",PRP19 related,XPA binding protein 2,"SYF1 homolog, RNA splicing factor, XPA-binding protein 2, crn-related protein kim1, pre-mRNA-splicing factor SYF1",H. sapiens,ENSG00000076924,100010,,,56949,XPA binding protein 2,SYF1_HUMAN,"Q9HCS7, Q8TET6, Q96HB0, Q96IW0, Q9NRG6",,
RBM22,"B complex, Bact complex, C complex, P complex",PRP19 related,RNA binding motif protein 22,"RNA-binding motif protein 22, functional spliceosome-associated protein 47, pre-mRNA-splicing factor RBM22, zinc finger CCCH domain-containing protein 16",H. sapiens,ENSG00000086589,46896,RRM,,55696,RNA binding motif protein 22,RBM22_HUMAN,"Q9NW64, A6NDM5, B4DLI9, O95607",2YTC,Pro-rich
PPIL1,"B complex, Bact complex, C complex, P complex",PRP19 related,peptidylprolyl isomerase (cyclophilin)-like 1,"cyclophilin-related gene 1, peptidyl-prolyl cis-trans isomerase, peptidyl-prolyl cis-trans isomerase-like 1, rotamase PPIL1",H. sapiens,ENSG00000137168,18237,PPIase cyclophilin-type,,51645,peptidylprolyl isomerase (cyclophilin)-like 1,PPIL1_HUMAN,"Q9Y3C6, O15001, Q5TDC9","1XWN, 2K7N, 2X7K",
BUD31,"B complex, Bact complex, C complex, P complex",PRP19 related,BUD31 homolog (S. cerevisiae),"G10 maternal transcript homolog, functional spliceosome-associated protein 17, maternal G10 transcript, protein BUD31 homolog, protein EDG-2",H. sapiens,ENSG00000106245,17000,,Nuclear localization signal,8896,BUD31 homolog (S. cerevisiae),BUD31_HUMAN,"P41223, A4D274, D6W5S6, Q6IB53, Q9UDV1",,
AQR,"B complex, Bact complex, C complex, P complex",PRP19 related,aquarius homolog (mouse),"functional spliceosome-associated protein 164, intron-binding protein aquarius, intron-binding protein of 160 kDa",H. sapiens,ENSG00000021776,171295,,,9716,aquarius homolog (mouse),AQR_HUMAN,"O60306, A0JP17, A5YKK3, Q2YDX9, Q6IRU8",,
CWC27,"Bact complex, C complex, P complex",Recruited at Bact complex,CWC27 spliceosome-associated protein homolog (S. cerevisiae),"PPIase CWC27, PPIase SDCCAG10, antigen NY-CO-10, peptidyl-prolyl cis-trans isomerase CWC27 homolog, peptidyl-prolyl cis-trans isomerase SDCCAG10",H. sapiens,ENSG00000153015,53847,PPIase cyclophilin-type,,10283,CWC27 spliceosome-associated protein homolog (S. cerevisiae),CWC27_HUMAN,"Q6UX04, O60529, O60530, Q96EM3",2HQ6,
DHX16,"Bact complex, C complex, P complex",Recruited at Bact complex,DEAH (Asp-Glu-Ala-His) box polypeptide 16,"ATP-dependent RNA helicase #3, DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 16, DEAD/H box 16, DEAH-box protein 16, RNA helicase",H. sapiens,ENSG00000204560,119264,"Helicase ATP-binding, Helicase C-terminal",DEAH box,8449,DEAH (Asp-Glu-Ala-His) box polypeptide 16,DHX16_HUMAN,"O60231, O60322, Q5JP45, Q969X7, Q96QC1",,
CWC22,"Bact complex, C complex, P complex",Recruited at Bact complex,CWC22 spliceosome-associated protein homolog (S. cerevisiae),"functional spliceosome-associated protein b, nucampholin homolog, pre-mRNA-splicing factor CWC22 homolog",H. sapiens,ENSG00000163510,105466,"MI, MIF4G",,57703,CWC22 spliceosome-associated protein homolog (S. cerevisiae),CWC22_HUMAN,"Q9HCG8, Q05DC2, Q4G135, Q52LF0, Q6PEX2",,"Arg-rich, Poly-Glu, Poly-Lys, Ser-rich"
ZNF830,"Bact complex, C complex, P complex",Recruited at Bact complex,zinc finger protein 830,"coiled-coil domain containing 16, coiled-coil domain-containing protein 16, hypothetical protein MGC20398, sel-13 suppressor of lin-12 homolog, zinc finger protein 830",H. sapiens,ENSG00000198783,41999,,,91603,zinc finger protein 830,ZN830_HUMAN,"Q96NB3, Q96F60, Q96GZ5, Q9BU38",,
CCDC12,"Bact complex, C complex, P complex",Recruited at Bact complex,coiled-coil domain containing 12,coiled-coil domain-containing protein 12,H. sapiens,ENSG00000160799,19181,,,151903,coiled-coil domain containing 12,CCD12_HUMAN,"Q8WUD4, Q8N8I4",,
PPIL2,Bact complex,Recruited at Bact complex,peptidylprolyl isomerase (cyclophilin)-like 2,"PPIase, cyclophilin, 60kDa, cyclophilin-60, cyclophilin-like protein CyP-60, peptidyl-prolyl cis-trans isomerase-like 2",H. sapiens,ENSG00000100023,58823,"PPIase cyclophilin-type, U-box",,23759,peptidylprolyl isomerase (cyclophilin)-like 2,PPIL2_HUMAN,"Q13356, Q13357, Q8TAH2, Q9BWR8",1ZKC,
GPKOW,"Bact complex, C complex, P complex",Recruited at Bact complex,G patch domain and KOW motifs,"G patch domain and KOW motifs-containing protein, protein MOS2 homolog",H. sapiens,ENSG00000068394,52229,"G-patch, KOW",,27238,G patch domain and KOW motifs,GPKOW_HUMAN,"Q92917, Q59EK5, Q9BQA8",,
RNF113A,"Bact complex, C complex, P complex",Recruited at Bact complex,ring finger protein 113A,"RING finger protein 113A, zinc finger protein 183 (RING finger, C3HC4 type)",H. sapiens,ENSG00000125352,38787,,,7737,ring finger protein 113A,R113A_HUMAN,O15541,,Poly-Glu
PRCC,Bact complex,Recruited at Bact complex,papillary renal cell carcinoma (translocation-associated),"papillary renal cell carcinoma translocation-associated gene protein, proline-rich protein PRCC",H. sapiens,ENSG00000143294,52418,,,5546,papillary renal cell carcinoma (translocation-associated),PRCC_HUMAN,"Q92733, A8K1F7, O00665, O00724, Q5SZ06",,"Poly-Glu, Poly-Pro, Poly-Thr"
CWC25,Bact complex,Recruited at Bact complex,CWC25 spliceosome-associated protein homolog (S. cerevisiae),"coiled-coil domain containing 49, coiled-coil domain-containing protein 49, pre-mRNA-splicing factor CWC25 homolog, spliceosome-associated protein homolog CWC25",H. sapiens,ENSG00000108296,49647,,,54883,CWC25 spliceosome-associated protein homolog (S. cerevisiae),CWC25_HUMAN,"Q9NXE8, A0JLM3, Q68DK5",,Lys-rich
GPATCH1,"Bact complex, C complex",Recruited at Bact complex,G patch domain containing 1,"G patch domain-containing protein 1, evolutionarily conserved G patch domain containing, evolutionarily conserved G-patch domain containing, evolutionarily conserved G-patch domain-containing protein",H. sapiens,ENSG00000076650,103345,G-patch,,55094,G patch domain containing 1,GPTC1_HUMAN,"Q9BRR8, Q8IZV6, Q8N3B7, Q9NW94",,
CDC40,"Bact complex, C complex, P complex",Second step factors,cell division cycle 40 homolog (S. cerevisiae),"EH-binding protein 3, PRP17 homolog, hPRP17, pre-mRNA splicing factor 17, pre-mRNA-processing factor 17",H. sapiens,ENSG00000168438,65521,,,51362,cell division cycle 40 homolog (S. cerevisiae),PRP17_HUMAN,"O60508, B2RBC5, O75471, Q5SRN0, Q9UPG1",,
BUD13,"Bact complex, C complex, P complex",RES complex,BUD13 homolog (S. cerevisiae),"BUD13 homolog, functional spliceosome-associated protein 71",H. sapiens,ENSG00000137656,70521,,,84811,BUD13 homolog (S. cerevisiae),BUD13_HUMAN,"Q9BRD0, A8K0S0, Q96LS7",,Arg-rich
SNIP1,"Bact complex, C complex, P complex",RES complex,Smad nuclear interacting protein 1,"FHA domain-containing protein SNIP1, smad nuclear-interacting protein 1",H. sapiens,ENSG00000163877,45778,FHA,,79753,Smad nuclear interacting protein 1,SNIP1_HUMAN,"Q8TAD8, Q96SP9, Q9H9T7",,"Arg-rich, Poly-Glu"
RBMX2,"Bact complex, C complex",RES complex,"RNA binding motif protein, X-linked 2","RNA-binding motif protein, X-linked 2",H. sapiens,ENSG00000134597,37336,RRM,,51634,"RNA binding motif protein, X-linked 2",RBMX2_HUMAN,"Q9Y388, A8K9Z0, Q5JY82, Q9Y3I8",,"Arg-rich, Lys-rich"
EIF4A3,"Bact complex, C complex, P complex",EJC/mRNP,eukaryotic translation initiation factor 4A3,"ATP-dependent RNA helicase DDX48, ATP-dependent RNA helicase eIF4A-3, DEAD (Asp-Glu-Ala-Asp) box polypeptide 48, DEAD box protein 48, NMP 265",H. sapiens,ENSG00000141543,46871,"Helicase ATP-binding, Helicase C-terminal","DEAD box, Q motif",9775,eukaryotic translation initiation factor 4A3,IF4A3_HUMAN,"P38919, Q15033, Q6IBQ2, Q96A18","2HXY, 2HYI, 2J0Q, 2J0S, 2J0U",
SAP18,"Bact complex, C complex",EJC/mRNP,"Sin3A-associated protein, 18kDa","18 kDa Sin3-associated polypeptide, cell growth inhibiting protein 38, cell growth-inhibiting gene 38 protein, cell growth-inhibiting protein 38, histone deacetlyase complex subunit SAP18",H. sapiens,ENSG00000150459,17561,,,10284,"Sin3A-associated protein, 18kDa",SAP18_HUMAN,"O00422, B2R494, Q2TTR4, Q6IAW9, Q8N606",2HDE,
PPIL4,"B complex, Bact complex, C complex, P complex",,peptidylprolyl isomerase (cyclophilin)-like 4,"PPIase, cyclophilin-like protein PPIL4, cyclophilin-type peptidyl-prolyl cis-trans isomerase, peptidyl-prolyl cis-trans isomerase-like 4, rotamase PPIL4",H. sapiens,ENSG00000131013,57225,"PPIase cyclophilin-type, RRM",,85313,peptidylprolyl isomerase (cyclophilin)-like 4,PPIL4_HUMAN,"Q8WUA2, B2RD34, Q7Z3Q5",,Lys-rich
