ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
12	"ENSG00000160224"	"AIRE"	chr21	+	44286977	44287591	44286977	44287133	44287516	44287591	12	9,0,0,7,4,0	1,0,2,2,0,0	0,12,4,0,0,0,0,2,0	0,0,2,0,0,0,0,0,0	533	150	1	1.0	0.717,NA,0.0,0.496,1.0,NA	NA,1.0,0.36,NA,NA,NA,NA,1.0,NA	-0.233
13	"ENSG00000160224"	"AIRE"	chr21	+	44288344	44289802	44288344	44288458	44289656	44289802	13	31,12,14,13,4,0	0,0,3,0,0,0	0,2,12,0,0,0,0,4,0	0,0,1,0,0,0,0,0,0	1348	150	1	1.0	1.0,1.0,0.342,1.0,1.0,NA	NA,1.0,0.572,NA,NA,NA,NA,1.0,NA	0.011
16	"ENSG00000241945"	"PWP2"	chr21	+	44120951	44122357	44120951	44121102	44122176	44122357	16	2,4,0,0,13,0	22,137,0,0,209,0	0,0,0,0,0,0,12,0,1	0,0,0,0,0,0,273,0,61	1224	150	1	1.0	0.011,0.004,NA,NA,0.008,NA	NA,NA,NA,NA,NA,NA,0.005,NA,0.002	0.004
17	"ENSG00000241945"	"PWP2"	chr21	+	44124579	44126119	44124579	44124727	44126010	44126119	17	1,16,0,0,19,0	58,212,0,0,284,0	0,0,0,0,0,0,17,0,10	0,0,0,0,0,0,337,0,82	1433	150	1	1.0	0.002,0.008,NA,NA,0.007,NA	NA,NA,NA,NA,NA,NA,0.005,NA,0.013	-0.003
20	"ENSG00000160179"	"ABCG1"	chr21	+	42287888	42288312	42287888	42288037	42288210	42288312	20	7,8,12,18,16,51	52,22,59,60,101,11	2,24,3,20,0,100,5,16,64	5,4,5,121,0,318,23,0,15	323	150	1	1.0	0.059,0.144,0.086,0.122,0.069,0.683	0.157,0.736,0.218,0.071,NA,0.127,0.092,1.0,0.665	-0.189
21	"ENSG00000160179"	"ABCG1"	chr21	+	42287888	42288312	42287888	42288073	42288210	42288312	21	1,3,7,4,5,10	20,18,32,48,46,130	0,3,1,8,0,42,1,2,15	15,62,5,45,2,229,10,56,243	287	150	0.686758650171	1.0	0.025,0.08,0.103,0.042,0.054,0.039	0.0,0.025,0.095,0.085,0.0,0.087,0.05,0.018,0.031	0.014
23	"ENSG00000173276"	"ZBTB21"	chr21	-	41986830	41994108	41986830	41991889	41992492	41994108	23	169,174,494,179,173,424	12,13,15,15,7,21	198,214,191,137,323,320,92,496,490	9,6,4,12,2,21,14,7,22	753	150	0.17980181022	0.4700248653	0.737,0.727,0.868,0.704,0.831,0.801	0.814,0.877,0.905,0.695,0.97,0.752,0.567,0.934,0.816	-0.036
24	"ENSG00000157601"	"MX1"	chr21	+	41421837	41422095	41421837	41421871	41421974	41422095	24	2,6,6,12,6,0	1,0,13,0,2,0	0,0,0,7,0,6,3,6,2	0,0,0,0,0,0,0,2,0	253	150	1	1.0	0.542,1.0,0.215,1.0,0.64,NA	NA,NA,NA,1.0,NA,1.0,1.0,0.64,1.0	-0.249
26	"ENSG00000205581"	"HMGN1"	chr21	-	39345829	39347292	39345829	39345958	39347246	39347292	26	3459,3050,6275,2026,5197,5788	27,53,52,69,34,13	684,3145,2064,5521,2466,4717,4876,10798,4827	49,56,34,12,22,33,19,33,44	1438	150	0.616797849606	1.0	0.93,0.857,0.926,0.754,0.941,0.979	0.593,0.854,0.864,0.98,0.921,0.937,0.964,0.972,0.92	0.008
27	"ENSG00000205581"	"HMGN1"	chr21	-	39345145	39348339	39345145	39345274	39348291	39348339	27	5702,5191,9956,3606,7856,9694	4866,5399,5630,5279,4441,4270	1327,4947,3648,8900,4138,7557,7783,16958,7567	2748,3295,4356,2850,1855,4649,5372,3395,2686	3167	150	6.28197790334e-05	0.000957598939368	0.053,0.044,0.077,0.031,0.077,0.097	0.022,0.066,0.038,0.129,0.096,0.071,0.064,0.191,0.118	-0.025
28	"ENSG00000205581"	"HMGN1"	chr21	-	39348421	39348577	39348421	39348451	39348544	39348577	28	266,341,278,226,295,441	3334,3823,3754,3290,3223,3133	168,296,252,233,181,332,394,443,247	2036,2790,3584,2127,1416,3021,3777,2697,2672	243	150	0.00722455913656	0.0440512862224	0.047,0.052,0.044,0.041,0.053,0.08	0.048,0.061,0.042,0.063,0.073,0.064,0.06,0.092,0.054	-0.009
29	"ENSG00000205622"	"AF064858.6"	chr21	-	38923425	38923693	38923425	38923513	38923637	38923693	29	3,0,0,0,0,0	8,0,0,0,2,2	0,0,0,0,0,2,4,4,0	4,0,0,0,0,0,0,9,0	274	150	1	1.0	0.17,NA,NA,NA,0.0,0.0	0.0,NA,NA,NA,NA,1.0,1.0,0.196,NA	-0.492
30	"ENSG00000157538"	"DSCR3"	chr21	-	37223419	37227806	37223419	37225626	37227653	37227806	30	101,58,65,37,127,37	221,337,403,355,349,243	37,70,28,75,99,109,36,11,112	479,175,380,314,241,458,393,165,447	2177	150	0.101756618448	0.314256154116	0.031,0.012,0.011,0.007,0.024,0.01	0.005,0.027,0.005,0.016,0.028,0.016,0.006,0.005,0.017	0.002
33	"ENSG00000159079"	"C21orf59"	chr21	-	32601666	32603292	32601666	32601973	32603160	32603292	33	231,339,771,330,450,207	66,79,84,83,85,58	18,58,45,402,31,435,220,171,68	15,11,78,34,41,40,111,55,29	1337	150	0.00954022600851	0.0540802322962	0.282,0.325,0.507,0.308,0.373,0.286	0.119,0.372,0.061,0.57,0.078,0.55,0.182,0.259,0.208	0.08
34	"ENSG00000156253"	"RWDD2B"	chr21	-	29008239	29008621	29008239	29008307	29008394	29008621	34	18,61,45,40,43,21	41,121,105,136,108,28	14,7,37,55,4,16,54,26,19	25,20,39,45,41,49,181,25,31	237	150	0.358329062506	0.749914562241	0.217,0.242,0.213,0.157,0.201,0.322	0.262,0.181,0.375,0.436,0.058,0.171,0.159,0.397,0.279	-0.032
35	"ENSG00000156239"	"N6AMT1"	chr21	-	28872190	28876491	28872190	28872739	28876311	28876491	35	136,541,825,906,811,12	43,118,140,54,74,36	170,16,19,451,8,176,459,37,1	35,0,18,58,28,18,114,7,4	3722	150	0.16477852178	0.442021630556	0.113,0.156,0.192,0.403,0.306,0.013	0.164,1.0,0.041,0.239,0.011,0.283,0.14,0.176,0.01	-0.032
36	"ENSG00000154734"	"ADAMTS1"	chr21	-	26838438	26839762	26838438	26838614	26839586	26839762	36	0,42,3,0,15,0	2,53,38,7,25,2	0,0,0,0,0,0,12,0,0	0,2,0,0,0,0,21,2,0	1122	150	1	1.0	0.0,0.096,0.01,0.0,0.074,0.0	NA,0.0,NA,NA,NA,NA,0.071,0.0,NA	0.006
37	"ENSG00000154734"	"ADAMTS1"	chr21	-	26839874	26840562	26839874	26840061	26840275	26840562	37	0,30,1,2,5,11	4,19,45,9,15,8	0,0,0,0,0,0,12,0,0	0,0,0,0,0,0,18,6,0	364	150	1	1.0	0.0,0.394,0.009,0.084,0.121,0.362	NA,NA,NA,NA,NA,NA,0.216,0.0,NA	0.054
42	"ENSG00000275895"	"U2AF1L5"	chr21	-	6492130	6496080	6492130	6492197	6495992	6496080	42	0,0,56,0,0,178	0,0,2,0,0,0	0,69,65,0,191,189,0,110,85	0,4,3,1,3,4,0,6,0	3945	150	1	1.0	NA,NA,0.516,NA,NA,1.0	NA,0.396,0.452,0.0,0.708,0.642,NA,0.411,1.0	0.242
44	"ENSG00000275464"	"CH507-9B2.5"	chr21	-	5135934	5137474	5135934	5136043	5137326	5137474	44	5,16,48,15,0,22	86,147,397,277,0,186	7,17,9,21,7,21,0,7,16	314,34,120,174,94,151,0,65,33	1433	150	1	1.0	0.006,0.011,0.012,0.006,NA,0.012	0.002,0.05,0.008,0.012,0.008,0.014,NA,0.011,0.048	-0.01
45	"ENSG00000275464"	"CH507-9B2.5"	chr21	-	5139697	5141103	5139697	5139878	5140952	5141103	45	6,4,10,12,0,18	55,117,351,222,0,155	6,1,2,8,14,6,0,4,4	215,51,60,158,71,90,0,57,36	1224	150	1	1.0	0.013,0.004,0.003,0.007,NA,0.014	0.003,0.002,0.004,0.006,0.024,0.008,NA,0.009,0.013	-0.0
46	"ENSG00000100299"	"ARSA"	chr22	-	50626590	50627406	50626590	50626760	50627165	50627406	46	58,41,92,20,104,57	0,1,1,0,0,1	39,25,120,30,71,169,78,25,44	0,0,3,0,0,3,2,0,2	555	150	1	1.0	1.0,0.917,0.961,1.0,1.0,0.939	1.0,1.0,0.915,1.0,1.0,0.938,0.913,1.0,0.856	0.012
47	"ENSG00000100299"	"ARSA"	chr22	-	50627555	50628170	50627555	50627792	50627945	50628170	47	294,260,439,143,342,368	26,41,39,14,42,58	174,89,424,228,401,498,260,72,187	46,20,48,14,17,75,17,21,37	303	150	0.545357981105	0.983332861141	0.848,0.758,0.848,0.835,0.801,0.759	0.652,0.688,0.814,0.89,0.921,0.767,0.883,0.629,0.714	0.035
48	"ENSG00000205560"	"CPT1B"	chr22	-	50571157	50571539	50571157	50571292	50571374	50571539	48	28,12,33,17,10,28	125,47,130,52,51,62	0,18,4,18,0,13,16,12,17	6,79,22,163,29,70,57,24,111	232	150	0.00799502023678	0.0477036463102	0.127,0.142,0.141,0.174,0.113,0.226	0.0,0.128,0.105,0.067,0.0,0.107,0.154,0.244,0.09	0.054
49	"ENSG00000025708"	"TYMP"	chr22	-	50526000	50526476	50526000	50526141	50526245	50526476	49	38,26,30,11,20,26	230,134,273,140,207,178	39,8,72,43,44,27,8,87,17	244,234,1130,87,621,178,132,466,65	254	150	0.758719455929	1.0	0.089,0.103,0.061,0.044,0.054,0.079	0.086,0.02,0.036,0.226,0.04,0.082,0.035,0.099,0.134	-0.013
50	"ENSG00000025708"	"TYMP"	chr22	-	50526000	50526476	50526000	50526156	50526245	50526476	50	28,26,27,8,16,23	1,2,0,2,3,0	32,7,60,40,37,24,7,79,16	0,3,14,0,9,0,5,13,0	239	150	0.00951546392856	0.0540042320337	0.946,0.891,1.0,0.715,0.77,1.0	1.0,0.594,0.729,1.0,0.721,1.0,0.468,0.792,1.0	0.075
51	"ENSG00000100258"	"LMF2"	chr22	-	50504339	50504727	50504339	50504451	50504558	50504727	51	83,73,117,33,74,91	278,325,501,249,251,203	29,63,32,53,51,67,65,149,60	164,100,323,130,258,244,215,225,253	257	150	0.39256034134	0.789770297552	0.148,0.116,0.12,0.072,0.147,0.207	0.094,0.269,0.055,0.192,0.103,0.138,0.15,0.279,0.122	-0.021
52	"ENSG00000100258"	"LMF2"	chr22	-	50505056	50505537	50505056	50505153	50505402	50505537	52	51,66,108,41,60,51	5,11,6,0,0,2	12,47,27,63,46,53,45,91,16	5,0,4,2,6,1,8,3,0	399	150	0.746462189335	1.0	0.793,0.693,0.871,1.0,1.0,0.906	0.474,1.0,0.717,0.922,0.742,0.952,0.679,0.919,1.0	0.054
53	"ENSG00000100429"	"HDAC10"	chr22	-	50245674	50246092	50245674	50245827	50245909	50246092	53	26,42,94,48,49,49	113,260,333,219,230,299	70,40,31,94,57,91,63,90,34	286,154,247,162,218,174,314,302,178	232	150	0.0128520393966	0.0679158881891	0.129,0.095,0.154,0.124,0.121,0.096	0.137,0.144,0.075,0.273,0.145,0.253,0.115,0.162,0.11	-0.037
54	"ENSG00000100429"	"HDAC10"	chr22	-	50246297	50246735	50246297	50246376	50246678	50246735	54	28,33,60,26,31,13	138,331,414,221,242,324	39,17,43,45,50,38,46,29,21	285,192,310,181,398,240,302,291,189	452	150	0.098002047864	0.305237550518	0.063,0.032,0.046,0.038,0.041,0.013	0.043,0.029,0.044,0.076,0.04,0.05,0.048,0.032,0.036	-0.005
55	"ENSG00000100429"	"HDAC10"	chr22	-	50246678	50246966	50246678	50246735	50246874	50246966	55	31,33,42,34,26,34	154,324,400,219,231,327	18,28,22,23,20,35,50,40,16	283,214,368,206,415,234,294,276,205	289	150	0.0998917208934	0.310107718387	0.095,0.05,0.052,0.075,0.055,0.051	0.032,0.064,0.03,0.055,0.024,0.072,0.081,0.07,0.039	0.011
56	"ENSG00000100429"	"HDAC10"	chr22	-	50248224	50248472	50248224	50248292	50248365	50248472	56	25,25,48,30,31,42	142,293,288,213,178,241	7,18,27,41,14,37,27,42,20	194,168,271,149,252,141,257,220,193	223	150	0.163082635534	0.439196497508	0.106,0.054,0.101,0.087,0.105,0.105	0.024,0.067,0.063,0.156,0.036,0.15,0.066,0.114,0.065	0.011
57	"ENSG00000100429"	"HDAC10"	chr22	-	50250770	50251385	50250770	50250905	50250973	50251385	57	33,41,55,35,34,48	51,69,112,58,54,76	27,23,65,40,57,44,40,58,39	92,77,125,34,57,57,91,94,40	218	150	0.882469251774	1.0	0.308,0.29,0.253,0.293,0.302,0.303	0.168,0.17,0.264,0.447,0.408,0.347,0.232,0.298,0.402	-0.013
58	"ENSG00000170638"	"TRABD"	chr22	+	50197822	50198186	50197822	50197995	50198074	50198186	58	1114,430,776,316,578,974	778,646,778,627,626,502	128,405,69,492,95,1325,294,823,827	377,196,280,376,155,704,584,484,500	229	150	0.724006711502	1.0	0.484,0.304,0.395,0.248,0.377,0.56	0.182,0.575,0.139,0.462,0.286,0.552,0.248,0.527,0.52	0.007
59	"ENSG00000186654"	"PRR5"	chr22	+	44702217	44702608	44702217	44702409	44702491	44702608	59	101,84,113,109,127,136	3,4,6,1,1,6	239,49,158,79,42,84,74,149,95	0,1,8,5,0,0,0,3,2	232	150	0.0660953979524	0.230630750302	0.956,0.931,0.924,0.986,0.988,0.936	1.0,0.969,0.927,0.911,1.0,1.0,1.0,0.97,0.968	-0.018
60	"ENSG00000198951"	"NAGA"	chr22	-	42070281	42070830	42070281	42070366	42070762	42070830	60	303,278,313,345,296,133	0,0,0,0,2,0	398,216,133,57,110,314,203,287,103	4,7,0,0,0,0,1,6,1	546	150	0.046030785824	0.178286946074	1.0,1.0,1.0,1.0,0.976,1.0	0.965,0.894,1.0,1.0,1.0,1.0,0.982,0.929,0.966	0.025
62	"ENSG00000100417"	"PMM1"	chr22	-	41583958	41584372	41583958	41584058	41584280	41584372	62	48,8,38,11,55,54	79,31,131,56,62,49	2,43,9,2,0,119,28,101,0	10,25,6,4,0,165,44,39,0	372	150	1	1.0	0.197,0.094,0.105,0.073,0.263,0.308	0.075,0.41,0.377,0.168,NA,0.225,0.204,0.511,NA	-0.108
63	"ENSG00000100395"	"L3MBTL2"	chr22	+	41217122	41219536	41217122	41217202	41219418	41219536	63	37,69,163,12,50,99	145,225,429,283,236,206	28,33,28,27,2,76,53,59,75	151,52,84,172,85,160,286,65,84	2366	150	0.0331332271318	0.140055455347	0.016,0.019,0.024,0.003,0.013,0.03	0.012,0.039,0.021,0.01,0.001,0.029,0.012,0.054,0.054	-0.008
64	"ENSG00000100395"	"L3MBTL2"	chr22	+	41227088	41227869	41227088	41227323	41227803	41227869	64	22,28,48,28,23,7	194,290,358,271,210,188	16,21,13,29,1,21,21,42,9	137,85,120,161,22,176,239,43,73	630	150	0.000538435386889	0.00545122328573	0.026,0.022,0.031,0.024,0.025,0.009	0.027,0.056,0.025,0.041,0.011,0.028,0.02,0.189,0.029	-0.025
65	"ENSG00000100380"	"ST13"	chr22	-	40840625	40840692	40840625	40840653	40840655	40840692	65	1038,1979,2000,1641,1507,1940	0,0,1,0,0,0	955,770,1668,1006,1317,964,2092,1223,1226	0,0,0,1,0,0,1,4,0	152	150	1	1.0	1.0,1.0,0.999,1.0,1.0,1.0	1.0,1.0,1.0,0.999,1.0,1.0,1.0,0.997,1.0	0.0
66	"ENSG00000128272"	"ATF4"	chr22	+	39520563	39521671	39520563	39520751	39521353	39521671	66	981,800,1031,481,1170,1596	944,823,1973,706,472,929	262,1571,938,921,1262,724,1381,3318,801	729,2264,1993,338,1425,583,904,2758,1494	752	150	0.180205834541	0.470136560108	0.172,0.162,0.094,0.12,0.331,0.255	0.067,0.122,0.086,0.352,0.15,0.199,0.234,0.194,0.097	0.022
68	"ENSG00000100316"	"RPL3"	chr22	-	39312883	39313310	39312883	39312984	39313190	39313310	68	454,550,488,468,485,536	7591,9777,9336,8633,9816,10595	350,487,467,382,197,278,612,575,442	5472,7622,8720,6047,3413,4420,11990,8736,9433	356	150	0.181240742129	0.472318339488	0.025,0.023,0.022,0.022,0.02,0.021	0.026,0.026,0.022,0.026,0.024,0.026,0.021,0.027,0.019	-0.002
69	"ENSG00000100316"	"RPL3"	chr22	-	39313190	39314208	39313190	39313310	39314106	39314208	69	1691,1788,1801,1505,1890,2198	359,194,115,103,150,540	906,1248,1364,1156,706,1049,2191,2660,1605	121,552,647,59,510,207,301,887,538	946	150	0.00164603185494	0.0138558008887	0.428,0.594,0.713,0.699,0.666,0.392	0.543,0.264,0.251,0.756,0.18,0.446,0.536,0.322,0.321	0.18
70	"ENSG00000128298"	"BAIAP2L2"	chr22	-	38086241	38086449	38086241	38086347	38086389	38086449	70	6,2,4,0,13,2	0,0,0,0,0,13	0,0,2,0,0,3,1,0,0	0,0,0,0,0,0,0,0,0	192	150	1	1.0	1.0,1.0,1.0,NA,1.0,0.107	NA,NA,1.0,NA,NA,1.0,1.0,NA,NA	-0.179
71	"ENSG00000100151"	"PICK1"	chr22	+	38073772	38074451	38073772	38073823	38074306	38074451	71	55,90,191,50,118,202	82,192,230,188,264,162	7,88,17,109,62,108,137,276,100	86,53,69,82,98,102,224,73,60	633	150	0.0354789479603	0.147120290266	0.137,0.1,0.164,0.059,0.096,0.228	0.019,0.282,0.055,0.24,0.13,0.201,0.127,0.473,0.283	-0.07
72	"ENSG00000100124"	"ANKRD54"	chr22	-	37832957	37833206	37832957	37833082	37833158	37833206	72	310,195,230,129,224,537	91,223,416,224,187,50	30,219,252,86,227,258,283,1042,270	64,5,37,55,41,122,213,74,35	226	150	0.0103866035575	0.0579117075258	0.693,0.367,0.268,0.277,0.443,0.877	0.237,0.967,0.819,0.509,0.786,0.584,0.469,0.903,0.837	-0.191
73	"ENSG00000100055"	"CYTH4"	chr22	+	37311455	37312174	37311455	37311527	37312019	37312174	73	88,10,63,11,74,4	209,27,85,46,155,49	64,24,0,153,0,322,1,127,3	277,105,6,332,3,722,17,217,24	642	150	0.322978824018	0.702371873356	0.09,0.08,0.148,0.053,0.1,0.019	0.051,0.051,0.0,0.097,0.0,0.094,0.014,0.12,0.028	0.031
74	"ENSG00000133466"	"C1QTNF6"	chr22	-	37180166	37182735	37180166	37180867	37182151	37182735	74	58,85,17,64,33,18	7,1,17,12,14,5	2,17,19,32,0,56,45,48,547	0,0,2,4,0,4,1,1,31	1434	150	1	1.0	0.464,0.899,0.095,0.358,0.198,0.274	1.0,1.0,0.498,0.456,NA,0.594,0.825,0.834,0.649	-0.351
75	"ENSG00000100365"	"NCF4"	chr22	+	36875652	36876094	36875652	36875783	36876028	36876094	75	287,564,431,265,390,294	801,1606,1358,836,1148,994	104,163,304,469,334,339,731,373,295	875,564,1371,930,1126,518,2317,925,791	395	150	0.897131698949	1.0	0.12,0.118,0.108,0.107,0.114,0.101	0.043,0.099,0.078,0.161,0.101,0.199,0.107,0.133,0.124	-0.005
76	"ENSG00000100360"	"IFT27"	chr22	-	36758210	36764036	36758210	36758409	36763918	36764036	76	90,134,362,183,380,520	36,13,12,8,18,41	32,24,73,497,78,547,394,223,124	6,11,16,3,28,12,18,9,14	5659	150	0.82375407938	1.0	0.062,0.215,0.444,0.377,0.359,0.252	0.124,0.055,0.108,0.815,0.069,0.547,0.367,0.396,0.19	-0.012
77	"ENSG00000100360"	"IFT27"	chr22	-	36775673	36776125	36775673	36775794	36776030	36776125	77	108,143,181,119,130,113	0,5,0,2,2,0	72,37,97,106,57,78,113,65,28	2,0,0,0,0,1,1,0,0	386	150	0.505822143794	0.936795216466	1.0,0.917,1.0,0.959,0.962,1.0	0.933,1.0,1.0,1.0,1.0,0.968,0.978,1.0,1.0	-0.014
78	"ENSG00000100297"	"MCM5"	chr22	+	35421317	35424501	35421317	35421460	35424153	35424501	78	1198,1050,1955,839,1345,1954	2,0,0,0,0,0	226,690,202,785,64,1456,1404,2520,77	0,0,0,0,0,0,2,0,0	2843	150	1	1.0	0.969,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,0.974,1.0,1.0	-0.002
80	"ENSG00000100225"	"FBXO7"	chr22	+	32487744	32493281	32487744	32487828	32493104	32493281	80	615,1313,1602,995,1112,2654	111,51,32,31,3,56	108,1214,642,1201,839,780,4749,6240,1401	0,29,2,61,0,2,449,271,27	5426	150	0.109591080328	0.330510575802	0.133,0.416,0.581,0.47,0.911,0.567	1.0,0.536,0.899,0.352,1.0,0.915,0.226,0.389,0.589	-0.143
81	"ENSG00000138942"	"RNF185"	chr22	+	31204488	31207013	31204488	31204966	31205376	31207013	81	442,617,1649,1032,823,242	3,1,0,0,0,0	264,166,139,552,80,745,443,84,353	0,0,0,0,0,0,6,0,0	560	150	1	1.0	0.975,0.994,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,0.952,1.0,1.0	0.0
83	"ENSG00000198832"	"SELM"	chr22	-	31105929	31107533	31105929	31105965	31107376	31107533	83	0,2,4,0,0,2	1,1,3,4,0,10	0,0,0,0,0,12,0,0,0	6,7,8,0,5,3,1,4,0	1561	150	1	1.0	0.0,0.161,0.114,0.0,NA,0.019	0.0,0.0,0.0,NA,0.0,0.278,0.0,0.0,NA	0.019
85	"ENSG00000183963"	"SMTN"	chr22	+	31096997	31097338	31096997	31097060	31097268	31097338	85	10,12,30,10,24,1	75,88,87,66,67,42	12,34,11,13,31,17,1,55,23	9,30,65,33,53,71,33,68,10	358	150	2.6790285e-05	0.000475427595	0.053,0.054,0.126,0.06,0.131,0.01	0.358,0.322,0.066,0.142,0.197,0.091,0.013,0.253,0.491	-0.142
86	"ENSG00000183963"	"SMTN"	chr22	+	31099061	31099896	31099061	31099179	31099744	31099896	86	4,0,11,7,7,1	94,117,165,93,57,57	2,8,8,0,4,16,3,8,1	26,71,106,19,61,76,40,90,18	715	150	0.0228807095576	0.105199223187	0.009,0.0,0.014,0.016,0.025,0.004	0.016,0.023,0.016,0.0,0.014,0.042,0.015,0.018,0.012	-0.006
87	"ENSG00000100003"	"SEC14L2"	chr22	+	30415758	30416087	30415758	30415865	30415947	30416087	87	0,38,67,26,30,29	21,213,237,67,151,214	0,0,0,5,5,4,52,0,0	0,0,2,0,0,0,261,2,0	232	150	1	1.0	0.0,0.103,0.155,0.201,0.114,0.081	NA,NA,0.0,1.0,1.0,1.0,0.114,0.0,NA	-0.41
88	"ENSG00000187860"	"CCDC157"	chr22	+	30370325	30371727	30370325	30370950	30371649	30371727	88	4,6,29,4,7,88	4,10,19,7,2,13	0,4,9,19,42,5,2,14,20	5,10,6,3,0,7,2,17,0	849	150	0.866017850268	1.0	0.15,0.096,0.212,0.092,0.382,0.545	0.0,0.066,0.209,0.528,1.0,0.112,0.15,0.127,1.0	-0.109
89	"ENSG00000100325"	"ASCC2"	chr22	-	29793359	29793676	29793359	29793490	29793576	29793676	89	85,57,69,33,52,65	505,680,776,526,666,612	60,65,40,41,15,54,70,129,74	316,247,567,315,295,369,600,366,530	236	150	3.05230910358e-06	8.06487894257e-05	0.097,0.051,0.053,0.038,0.047,0.063	0.108,0.143,0.043,0.076,0.031,0.085,0.069,0.183,0.082	-0.033
